Files already downloaded and verified
EMNIST R1 [comp_greedy - static]: t=293.24s, loss=3.7316, acc=0.1222, jfi=0.4000, auc=0.8949, roc=0.7763
EMNIST R2 [comp_greedy - static]: t=586.47s, loss=1.7987, acc=0.4873, jfi=0.4000, auc=0.9603, roc=0.9562
EMNIST R3 [comp_greedy - static]: t=879.71s, loss=1.3397, acc=0.6070, jfi=0.4000, auc=0.9743, roc=0.9748
EMNIST R4 [comp_greedy - static]: t=1172.95s, loss=1.1709, acc=0.6567, jfi=0.4000, auc=0.9795, roc=0.9804
EMNIST R5 [comp_greedy - static]: t=1466.19s, loss=1.0764, acc=0.6805, jfi=0.4000, auc=0.9824, roc=0.9833
EMNIST R6 [comp_greedy - static]: t=1759.42s, loss=1.0235, acc=0.6933, jfi=0.4000, auc=0.9847, roc=0.9851
EMNIST R7 [comp_greedy - static]: t=2052.66s, loss=0.9146, acc=0.7273, jfi=0.4000, auc=0.9869, roc=0.9879
EMNIST R8 [comp_greedy - static]: t=2345.90s, loss=0.8787, acc=0.7329, jfi=0.4000, auc=0.9881, roc=0.9889
EMNIST R9 [comp_greedy - static]: t=2639.14s, loss=0.8244, acc=0.7485, jfi=0.4000, auc=0.9893, roc=0.9902
EMNIST R10 [comp_greedy - static]: t=2932.37s, loss=0.7955, acc=0.7538, jfi=0.4000, auc=0.9901, roc=0.9909
EMNIST R11 [comp_greedy - static]: t=3225.61s, loss=0.7417, acc=0.7716, jfi=0.4000, auc=0.9911, roc=0.9920
EMNIST R12 [comp_greedy - static]: t=3518.85s, loss=0.7206, acc=0.7754, jfi=0.4000, auc=0.9917, roc=0.9925
EMNIST R13 [comp_greedy - static]: t=3812.09s, loss=0.6819, acc=0.7862, jfi=0.4000, auc=0.9924, roc=0.9933
EMNIST R14 [comp_greedy - static]: t=4105.32s, loss=0.6536, acc=0.7944, jfi=0.4000, auc=0.9929, roc=0.9938
EMNIST R15 [comp_greedy - static]: t=4398.56s, loss=0.6393, acc=0.7982, jfi=0.4000, auc=0.9933, roc=0.9941
EMNIST R16 [comp_greedy - static]: t=4691.80s, loss=0.6216, acc=0.8022, jfi=0.4000, auc=0.9936, roc=0.9944
EMNIST R17 [comp_greedy - static]: t=4985.04s, loss=0.6037, acc=0.8086, jfi=0.4000, auc=0.9939, roc=0.9948
EMNIST R18 [comp_greedy - static]: t=5278.27s, loss=0.5840, acc=0.8112, jfi=0.4000, auc=0.9942, roc=0.9951
EMNIST R19 [comp_greedy - static]: t=5571.51s, loss=0.5680, acc=0.8159, jfi=0.4000, auc=0.9945, roc=0.9954
EMNIST R20 [comp_greedy - static]: t=5864.75s, loss=0.5542, acc=0.8211, jfi=0.4000, auc=0.9947, roc=0.9955
EMNIST R21 [comp_greedy - static]: t=6157.98s, loss=0.5430, acc=0.8230, jfi=0.4000, auc=0.9949, roc=0.9957
EMNIST R22 [comp_greedy - static]: t=6451.22s, loss=0.5305, acc=0.8261, jfi=0.4000, auc=0.9950, roc=0.9960
EMNIST R23 [comp_greedy - static]: t=6744.46s, loss=0.5200, acc=0.8307, jfi=0.4000, auc=0.9952, roc=0.9961
EMNIST R24 [comp_greedy - static]: t=7037.70s, loss=0.5034, acc=0.8361, jfi=0.4000, auc=0.9953, roc=0.9963
EMNIST R25 [comp_greedy - static]: t=7330.93s, loss=0.4993, acc=0.8354, jfi=0.4000, auc=0.9954, roc=0.9964
EMNIST R26 [comp_greedy - static]: t=7624.17s, loss=0.4926, acc=0.8370, jfi=0.4000, auc=0.9956, roc=0.9965
EMNIST R27 [comp_greedy - static]: t=7917.41s, loss=0.4813, acc=0.8397, jfi=0.4000, auc=0.9957, roc=0.9966
EMNIST R28 [comp_greedy - static]: t=8210.65s, loss=0.4745, acc=0.8433, jfi=0.4000, auc=0.9958, roc=0.9967
EMNIST R29 [comp_greedy - static]: t=8503.88s, loss=0.4724, acc=0.8396, jfi=0.4000, auc=0.9958, roc=0.9967
EMNIST R30 [comp_greedy - static]: t=8797.12s, loss=0.4722, acc=0.8435, jfi=0.4000, auc=0.9959, roc=0.9968
EMNIST R31 [comp_greedy - static]: t=9090.36s, loss=0.4673, acc=0.8440, jfi=0.4000, auc=0.9959, roc=0.9969
EMNIST R32 [comp_greedy - static]: t=9383.60s, loss=0.4523, acc=0.8489, jfi=0.4000, auc=0.9961, roc=0.9970
EMNIST R33 [comp_greedy - static]: t=9676.83s, loss=0.4482, acc=0.8503, jfi=0.4000, auc=0.9961, roc=0.9971
EMNIST R34 [comp_greedy - static]: t=9970.07s, loss=0.4462, acc=0.8508, jfi=0.4000, auc=0.9962, roc=0.9971
EMNIST R35 [comp_greedy - static]: t=10263.31s, loss=0.4384, acc=0.8535, jfi=0.4000, auc=0.9963, roc=0.9972
EMNIST R36 [comp_greedy - static]: t=10556.55s, loss=0.4365, acc=0.8529, jfi=0.4000, auc=0.9963, roc=0.9972
