Files already downloaded and verified
EMNIST R1 [random - static]: t=359.03s, loss=3.7487, acc=0.0641, jfi=0.4000, auc=0.8892, roc=0.7850
EMNIST R2 [random - static]: t=776.23s, loss=1.9586, acc=0.4699, jfi=0.5333, auc=0.9523, roc=0.9488
EMNIST R3 [random - static]: t=1271.37s, loss=1.3643, acc=0.6036, jfi=0.7200, auc=0.9733, roc=0.9737
EMNIST R4 [random - static]: t=1725.24s, loss=1.1923, acc=0.6535, jfi=0.7529, auc=0.9788, roc=0.9794
EMNIST R5 [random - static]: t=2131.76s, loss=1.0887, acc=0.6816, jfi=0.8333, auc=0.9820, roc=0.9828
EMNIST R6 [random - static]: t=2592.12s, loss=1.0034, acc=0.7033, jfi=0.8471, auc=0.9845, roc=0.9855
EMNIST R7 [random - static]: t=3002.86s, loss=0.9474, acc=0.7120, jfi=0.9116, auc=0.9864, roc=0.9871
EMNIST R8 [random - static]: t=3548.79s, loss=0.9024, acc=0.7268, jfi=0.9481, auc=0.9877, roc=0.9883
EMNIST R9 [random - static]: t=3933.17s, loss=0.8378, acc=0.7413, jfi=0.9257, auc=0.9891, roc=0.9899
EMNIST R10 [random - static]: t=4373.97s, loss=0.8016, acc=0.7510, jfi=0.9302, auc=0.9899, roc=0.9907
EMNIST R11 [random - static]: t=4833.25s, loss=0.7668, acc=0.7634, jfi=0.9308, auc=0.9908, roc=0.9916
EMNIST R12 [random - static]: t=5289.63s, loss=0.7343, acc=0.7723, jfi=0.9143, auc=0.9914, roc=0.9921
EMNIST R13 [random - static]: t=5670.52s, loss=0.6961, acc=0.7832, jfi=0.9135, auc=0.9921, roc=0.9930
EMNIST R14 [random - static]: t=6193.54s, loss=0.6747, acc=0.7887, jfi=0.9503, auc=0.9926, roc=0.9935
EMNIST R15 [random - static]: t=6627.22s, loss=0.6510, acc=0.7937, jfi=0.9326, auc=0.9931, roc=0.9939
EMNIST R16 [random - static]: t=7131.25s, loss=0.6310, acc=0.8003, jfi=0.9570, auc=0.9935, roc=0.9943
EMNIST R17 [random - static]: t=7539.51s, loss=0.6052, acc=0.8060, jfi=0.9554, auc=0.9939, roc=0.9948
EMNIST R18 [random - static]: t=7985.85s, loss=0.5887, acc=0.8120, jfi=0.9495, auc=0.9941, roc=0.9950
EMNIST R19 [random - static]: t=8442.89s, loss=0.5603, acc=0.8208, jfi=0.9563, auc=0.9946, roc=0.9955
EMNIST R20 [random - static]: t=8907.05s, loss=0.5563, acc=0.8180, jfi=0.9639, auc=0.9947, roc=0.9955
