round,time,loss,acc,jfi
1,291.70974374970734,2.2944810458374025,0.14106,0.4
2,583.4194874994147,2.2802903553009033,0.18688,0.4
3,875.1292312491221,2.2530939086914064,0.18396,0.4
4,1166.8389749988294,2.2077851539611815,0.20562,0.4
5,1458.5487187485367,2.1542499961853028,0.22188,0.4
6,1750.258462498244,2.0966482520294187,0.23968,0.4
7,2041.9682062479512,2.0552455463409425,0.26388,0.4
8,2333.6779499976587,2.024652240753174,0.26078,0.4
9,2625.387693747366,2.002135277709961,0.28248,0.4
10,2917.0974374970733,1.9739417450714112,0.29064,0.4
11,3208.8071812467806,1.9557319709014893,0.2974,0.4
12,3500.516924996488,1.9451105167388916,0.29816,0.4
13,3792.226668746195,1.924892470626831,0.31044,0.4
14,4083.9364124959025,1.9098426293945312,0.32096,0.4
15,4375.64615624561,1.8909789279937743,0.33276,0.4
16,4667.3558999953175,1.8835554263305665,0.33304,0.4
17,4959.065643745025,1.853628790206909,0.34624,0.4
18,5250.775387494733,1.834500299911499,0.35406,0.4
19,5542.485131244441,1.8179428440093994,0.36058,0.4
20,5834.194874994148,1.8105355627059936,0.36212,0.4
21,6125.904618743856,1.7833491222381592,0.37376,0.4
22,6417.614362493564,1.7613811791610718,0.38108,0.4
23,6709.324106243272,1.7437013485336303,0.38776,0.4
24,7001.033849992979,1.7270616711425781,0.39298,0.4
25,7292.743593742687,1.7103821133804322,0.3956,0.4
26,7584.453337492395,1.695849645690918,0.39954,0.4
27,7876.163081242103,1.6825552646255493,0.40638,0.4
28,8167.87282499181,1.6606351288604737,0.41492,0.4
29,8459.582568741518,1.6438987566757202,0.419,0.4
30,8751.292312491225,1.6322449081420898,0.42094,0.4
31,9043.002056240932,1.6137387780761718,0.42792,0.4
32,9334.711799990639,1.59892597076416,0.43304,0.4
33,9626.421543740345,1.5831903009033204,0.43704,0.4
34,9918.131287490052,1.5733368621063233,0.43978,0.4
35,10209.84103123976,1.559887476196289,0.44772,0.4
36,10501.550774989466,1.541912790298462,0.45112,0.4
37,10793.260518739173,1.5446765929412842,0.45066,0.4
38,11084.97026248888,1.5278868621063233,0.45538,0.4
39,11376.680006238586,1.5078006203842163,0.4643,0.4
40,11668.389749988293,1.5000165881729126,0.46366,0.4
41,11960.099493738,1.488396887550354,0.46926,0.4
42,12251.809237487707,1.4788811194610596,0.47054,0.4
43,12543.518981237414,1.4777337838363647,0.47128,0.4
44,12835.22872498712,1.4608976528549193,0.47764,0.4
45,13126.938468736827,1.447463797683716,0.48196,0.4
46,13418.648212486534,1.4455365502929687,0.48462,0.4
47,13710.357956236241,1.4405867547607423,0.48488,0.4
48,14002.067699985948,1.4213465125274658,0.49268,0.4
49,14293.777443735655,1.4148964279937744,0.4934,0.4
50,14585.487187485362,1.4090011654281616,0.49628,0.4
