round,time,loss,acc,jfi,auc,roc
1,146.17948121054584,2.2944431092834474,0.12648,0.4,0.6647871166666667,0.5545949339111111
2,312.49406218411843,2.2782259191131593,0.18326,0.64,0.695212386,0.6220833459333334
3,486.80601585908664,2.238145667190552,0.20866,0.72,0.6926363653333334,0.6725188806222222
4,625.5280308544013,2.148010597381592,0.2427,0.7529411764705882,0.6984907513333333,0.6982466405111111
5,765.024439962579,2.053507409210205,0.26734,0.8333333333333334,0.7228795428888889,0.7235006605555555
6,924.4701581956018,2.0298237422180176,0.26534,0.8228571428571428,0.7332460126666668,0.7251112090444445
7,1122.8279503139834,1.9641955546569825,0.29456,0.8340425531914893,0.7499982473333333,0.7512870127777778
8,1266.318881480975,1.9504401025390625,0.30712,0.8677966101694915,0.7589169475555556,0.7547275245777778
9,1423.452561426414,1.9076262796783447,0.32758,0.8756756756756757,0.7705585466666667,0.7705539903777778
10,1582.0331262699046,1.8831962421417237,0.32538,0.8791208791208791,0.7860210293333333,0.7784708496666667
11,1738.0481593948473,1.9307470657348633,0.31944,0.9219047619047619,0.7806602435555556,0.7608721707333334
12,1910.620045476867,1.809690839767456,0.36644,0.9442622950819672,0.8049272548888888,0.803493318511111
13,2051.3735686207974,1.7605246938705443,0.37726,0.9388888888888889,0.8136524244444445,0.8144933002222221
14,2215.722198983847,1.7157589249420166,0.39298,0.9389221556886228,0.8246711202222222,0.8256713267333334
15,2364.7731173635566,1.6822550216293335,0.40058,0.9278350515463918,0.8325748651111109,0.8334323954222222
16,2518.720626578279,1.645193203392029,0.41824,0.9351598173515981,0.8387700908888889,0.8424332206222223
17,2684.7490500378963,1.639342376937866,0.40874,0.932258064516129,0.8434311122222222,0.8432030865333333
18,2835.073909025482,1.609213042564392,0.42766,0.9323741007194245,0.8482720373333332,0.8487392714666666
19,2987.81925665473,1.5712345583343506,0.44416,0.9316129032258065,0.8559454126666667,0.8592916986222222
20,3143.6738746547107,1.5633761270523072,0.4388,0.9221902017291066,0.8580545464444445,0.8583798552
21,3311.3294446175937,1.5419458749771118,0.44702,0.9211488250652742,0.8625471742222223,0.8628911447333334
22,3482.23470160605,1.6424735015106202,0.40938,0.9219047619047619,0.8550129288888888,0.8407280740888889
23,3653.385237104881,1.5049762717437745,0.46346,0.9240174672489083,0.8683990544444444,0.8698422793333334
24,3796.218090213742,1.4797885135269164,0.47372,0.9234468937875752,0.871858579111111,0.8745266952444445
25,3937.95998229032,1.4800656832122803,0.46938,0.9242144177449169,0.8733222397777778,0.8740816088222222
26,4103.1466788280395,1.4963716384124757,0.4597,0.9181663837011884,0.8743104206666666,0.8710772215777778
27,4245.14567666355,1.4709953149032593,0.47312,0.9271860095389507,0.8763263273333333,0.8760346324444445
28,4434.286632635375,1.4821375869369506,0.47062,0.9291851851851852,0.8770347291111111,0.8738168487555555
29,4584.374905338999,1.4343680472564697,0.48826,0.9254470426409904,0.882086282,0.8830391347777777
30,4745.137987784078,1.4140514955520629,0.49698,0.9242618741976893,0.8843036013333332,0.8865199501555556
31,4901.378964050722,1.4085574234008789,0.49124,0.9364190012180268,0.8863612031111112,0.8866386082888889
32,5062.9822610294095,1.401623467979431,0.49532,0.9394495412844037,0.8872059471111111,0.8880034633555557
33,5238.493451489472,1.3686885247039795,0.51508,0.9438786565547129,0.8910124184444443,0.8939403008444444
34,5395.5133132024985,1.3890551215744018,0.50598,0.9456032719836401,0.8914913004444445,0.8898736813777778
35,5562.37430812908,1.3624648812866211,0.51518,0.9414024975984631,0.8943408979999999,0.8947829360888889
36,5700.641030678582,1.3885288747406006,0.5016,0.9442622950819672,0.892367422888889,0.8895503104222222
37,5837.131221123447,1.335250319595337,0.524,0.9474048442906574,0.8979951404444444,0.8991824850444445
38,5976.717758523495,1.3936526529693603,0.50648,0.9468852459016394,0.8937902982222221,0.8892031163111112
39,6141.818290465525,1.3220469152450562,0.5226,0.948402182385035,0.9011968822222223,0.9008091121555555
40,6303.410248267389,1.3065919579315186,0.53866,0.9552238805970149,0.9027064920000001,0.9040855037333333
41,6479.04978047988,1.2882471100616455,0.54192,0.9497175141242938,0.9042264164444443,0.9061520571555556
42,6637.227983217181,1.288318738899231,0.54412,0.9593473827328348,0.9052861586666665,0.9061154162888889
43,6867.567779275684,1.2566582108688356,0.54924,0.958651976668827,0.9089720977777777,0.9112016738
44,7043.0767672163165,1.2567611115646362,0.55228,0.9596034696406444,0.9098144908888889,0.9112134379555555
45,7211.426183336239,1.2557267241668701,0.55242,0.9631391200951248,0.9100585844444444,0.9110025116444445
46,7360.408957496559,1.2397640585708618,0.56118,0.9645584045584046,0.9123676775555556,0.9138300692666668
47,7494.9273778225415,1.2237480910491942,0.56468,0.968859649122807,0.9139337904444444,0.9155129382666667
48,7641.901834016628,1.2359382808303834,0.56308,0.9660377358490566,0.9133322184444446,0.9135469760000001
49,7806.140496830179,1.275208802833557,0.54282,0.9637732062217762,0.9117322828888887,0.9081794852222221
50,7940.204418810385,1.199515326538086,0.57526,0.963855421686747,0.9172698560000001,0.9194298163333333
