round,time,loss,acc,jfi,auc,roc
1,318.41703586919743,1.012911303806305,0.6799833333333334,0.4,0.9599405925925927,0.9599223791203704
2,636.8340717383949,0.6935486396789551,0.7420333333333333,0.4,0.9668075291666666,0.9740417027006172
3,955.2511076075923,0.6172831916809082,0.7789833333333334,0.4,0.9717349435185184,0.9792050595833334
4,1273.6681434767897,0.5843847302436829,0.7901333333333334,0.4,0.9736547378086421,0.9810269491666666
5,1592.0851793459872,0.5539348192056021,0.7982,0.4,0.9757549981481481,0.9828218411882716
6,1910.5022152151846,0.5207663937091828,0.8052666666666667,0.4,0.9782440771604938,0.9847369158641974
7,2228.9192510843823,0.49536582056681316,0.8250833333333333,0.4,0.9800723922839506,0.9863526988425926
8,2547.3362869535795,0.47619924852053325,0.8276,0.4,0.9813528839506173,0.9873132765895061
9,2865.7533228227767,0.46319311745961506,0.8339666666666666,0.4,0.9827104583333334,0.9878601931944445
10,3184.170358691974,0.4504730472723643,0.8375166666666667,0.4,0.983537600617284,0.9885066621450618
11,3502.587394561171,0.43167177135149637,0.8467666666666667,0.4,0.9846554871913579,0.98960656654321
12,3821.0044304303683,0.42013857843081154,0.85125,0.4,0.9850860655864198,0.9899646437808641
13,4139.4214662995655,0.40426085913976034,0.8583833333333334,0.4,0.986373401234568,0.9907731356790125
14,4457.838502168763,0.39897018129030865,0.8580666666666666,0.4,0.9867447376543209,0.9909303941820988
15,4776.25553803796,0.3856957483927409,0.8636166666666667,0.4,0.9874508967592593,0.9915627378395062
16,5094.672573907157,0.3776519599119822,0.8663333333333333,0.4,0.9878604569444445,0.9918184629938271
17,5413.089609776354,0.380678164879481,0.8631833333333333,0.4,0.9880196831790125,0.9916315508950616
18,5731.5066456455515,0.37061794511477153,0.8675833333333334,0.4,0.9885232763888888,0.9920894123611111
19,6049.923681514749,0.36998105370203654,0.8649666666666667,0.4,0.9887839441358025,0.9920742698765432
20,6368.340717383946,0.35081905563672383,0.8759833333333333,0.4,0.9893977910493827,0.9929406311265432
21,6686.757753253143,0.3449406744480133,0.8768333333333334,0.4,0.9895856046296296,0.9930981525154321
22,7005.17478912234,0.34138537745475767,0.8783833333333333,0.4,0.9897967339506174,0.9932392537654322
23,7323.591824991538,0.3376759921550751,0.8803666666666666,0.4,0.9901445158950619,0.9933983522067901
24,7642.008860860735,0.33647771687507627,0.8807833333333334,0.4,0.9901676341049385,0.9934329203703702
25,7960.425896729932,0.33388359303474424,0.8802333333333333,0.4,0.9904252765432098,0.9935340514506174
26,8278.84293259913,0.32834282704989115,0.8832333333333333,0.4,0.9907646819444444,0.9937589487962963
27,8597.259968468326,0.3209965349992116,0.8848166666666667,0.4,0.990946250308642,0.9940006105555556
28,8915.677004337524,0.3240442930062612,0.883,0.4,0.9909654904320988,0.9938512360185185
29,9234.09404020672,0.32100539668401085,0.88345,0.4,0.9911896567901234,0.9940133982561729
30,9552.511076075918,0.31576698082288107,0.88505,0.4,0.9912949040123455,0.9941993950617284
31,9870.928111945115,0.3082859160264333,0.8888166666666667,0.4,0.9915886697530863,0.9944278430401233
32,10189.345147814312,0.30328388655980426,0.8915166666666666,0.4,0.9918427277777779,0.994669594521605
33,10507.76218368351,0.30138486485481264,0.89195,0.4,0.992002811882716,0.9946902641203703
34,10826.179219552707,0.30427310433387755,0.8904833333333333,0.4,0.9920712143518517,0.9945792560185186
35,11144.596255421904,0.2906693054358164,0.8954166666666666,0.4,0.9923129453703705,0.9950410941203705
36,11463.013291291101,0.289309237909317,0.8953166666666666,0.4,0.992432536728395,0.9951149735493828
37,11781.430327160298,0.2872154105027517,0.8969833333333334,0.4,0.9926225473765431,0.9951982122530864
38,12099.847363029496,0.2904964887460073,0.8962166666666667,0.4,0.9925698689814816,0.9950429486882715
39,12418.264398898693,0.2807786968708038,0.8994,0.4,0.9928978662037039,0.9953800458950618
40,12736.68143476789,0.28426463866233825,0.8971,0.4,0.9928857044753086,0.9952407842438271
41,13055.098470637087,0.28178646670977275,0.8981833333333333,0.4,0.9930395251543208,0.9953552276234567
42,13373.515506506285,0.27188871800899506,0.90255,0.4,0.9932154424382718,0.9956581331018519
43,13691.932542375482,0.27070142426490784,0.90285,0.4,0.9933207572530864,0.9956931711111111
44,14010.349578244679,0.2753890711625417,0.9006166666666666,0.4,0.9932662720679012,0.9955079911882717
45,14328.766614113876,0.2685268094142278,0.9026333333333333,0.4,0.9934251651234568,0.9957441575154321
46,14647.183649983073,0.2653922803243001,0.9042833333333333,0.4,0.9936368433641976,0.9958572818672841
47,14965.60068585227,0.2640421280701955,0.9052333333333333,0.4,0.993653873302469,0.9958734018209878
48,15284.017721721468,0.260026007715861,0.9064833333333333,0.4,0.993798049074074,0.9960454677623456
49,15602.434757590665,0.25507235653400423,0.9081333333333333,0.4,0.9939352609567902,0.9961637673148148
50,15920.851793459862,0.2533067147731781,0.9093833333333333,0.4,0.9940245117283949,0.9962072884104937
